,City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
369,kasongo-lunda,0,AR,1561518544,30,-64.26,-27.8,280.715,2.2
370,kasongo-lunda,2,UA,1561519086,94,22.75,48.67,294.26,1.17
371,kasongo-lunda,75,SV,1561518642,88,-88.78,13.64,298.15,5.1
372,kasongo-lunda,100,RU,1561519090,70,87.61,56.03,291.415,2.95
373,kasongo-lunda,99,AR,1561519091,55,-65.11,-43.3,278.215,8.25
374,kasongo-lunda,0,LV,1561519093,71,24.61,56.82,289.26,1.5
375,kasongo-lunda,80,AU,1561518568,71,140.78,-37.83,287.15,5.7
376,kasongo-lunda,14,PF,1561519098,78,-151.75,-16.52,299.615,6.1
377,kasongo-lunda,90,CA,1561519099,51,-66.47,45.85,290.15,2.6
378,kasongo-lunda,0,PK,1561519101,56,68.42,27.21,307.15,5.1
379,kasongo-lunda,40,PG,1561519060,74,146.98,-6.72,299.15,1.5
380,kasongo-lunda,64,BQ,1561518909,78,-68.27,12.15,301.15,7.7
381,kasongo-lunda,20,VN,1561519104,47,109.19,12.24,309.15,2.1
382,kasongo-lunda,100,RU,1561518995,67,57.56,66.0,283.315,4.92
383,kasongo-lunda,57,NG,1561518858,94,7.44,10.52,293.815,5.5
384,kasongo-lunda,0,NA,1561519108,79,18.75,-28.01,277.115,1.55
385,kasongo-lunda,100,CA,1561518620,95,-83.67,49.69,287.415,3.86
386,kasongo-lunda,75,IN,1561519116,83,80.32,13.22,301.15,3.1
387,kasongo-lunda,93,GH,1561519119,99,-2.31,6.45,294.415,0.86
388,kasongo-lunda,53,PE,1561518606,85,-77.61,-11.1,290.215,6.96
389,kasongo-lunda,75,JP,1561519122,94,127.67,26.18,299.15,7.2
390,kasongo-lunda,0,HU,1561519125,93,16.54,46.62,293.71,1.5
391,kasongo-lunda,49,EC,1561519127,86,-78.74,-1.64,281.315,3.13
392,kasongo-lunda,93,CD,1561519130,98,25.21,0.52,294.115,1.01
393,kasongo-lunda,98,RU,1561519132,45,127.47,63.92,295.615,3.71
394,kasongo-lunda,1,US,1561518927,30,-116.79,47.77,297.15,1.5
395,kasongo-lunda,14,KE,1561519135,92,37.07,0.01,285.415,2.83
396,kasongo-lunda,11,RU,1561519136,82,52.54,54.09,287.015,3.91
397,kasongo-lunda,1,US,1561519138,77,-76.0,41.34,295.37,3.1
398,kasongo-lunda,3,BR,1561518576,79,-47.36,-0.61,300.815,7.16
399,kasongo-lunda,83,RU,1561519140,79,48.68,53.39,287.215,4.64
